from;to
PLA;SPD
POF;CDU
POF;INDU
PRA;WISS
TIL;CDU
HAS;CSU
HAS;VERB
KAM;CDU
KAM;GEWE
KAP;FDP
KAP;ENER
KEM;VERB
NEM;INDU
REI;CDU
REI;VERB
ROE;GRU
ROE;ENER
SCHW;VERB
SCHW;ENER
GRO;REGI
GRO;VERE
GRO;UMWE
WOD;CDU
WOD;REGI
WOD;UMWE
HER;REGI
KRE;CDU
KRE;REGI
PRI;GRU
PRI;VERG
PRI;UMWE
VAS;SPD
VAS;GEWE
SCHE;SPD
SCHE;GEWE
SCHE;ENER
KOE;SPD
KOE;GEWE
KAI;UMWE
WEI;UMWE
NIE;UMWE
NIE;WISS
SCHO;REGI
SCHO;VERB
MAT;WISS
SCHH;WISS
NIEB;WISS
WEH;WISS
LAE;CDU
LEN;CSU
MIE;SPD
