id,sex,type,party,age,representation,position ,state
PLA,2,0,3,4,1,3,2
POF,2,0,1,4,2,3,4
PRA,1,0,99,3,4,3,4
TIL,2,0,1,4,1,3,13
HAS,1,0,2,4,1,2,4
KAM,2,0,1,3,3,2,4
KAP,2,0,5,3,4,2,4
KEM,2,0,99,4,2,2,4
NEM,1,0,99,3,2,2,10
REI,1,0,1,2,2,2,4
ROE,1,0,4,3,2,2,13
SCHW,2,0,99,3,2,2,4
GRO,1,0,99,3,4,2,10
WOD,1,0,1,4,4,2,2
HER,1,0,99,4,5,2,2
KRE,2,0,1,4,1,2,10
PRI,2,0,4,4,1,2,10
VAS,2,0,3,3,3,2,10
SCHE,2,0,3,3,2,2,11
KOE,2,0,3,3,3,2,7
KAI,2,0,99,3,4,2,6
WEI,2,0,99,4,4,2,3
NIE,2,0,99,2,4,2,9
SCHO,1,0,99,4,6,2,3
MAT,2,0,99,3,6,2,1
SCHH,2,0,99,4,6,2,2
NIEB,1,0,99,3,6,2,15
WEH,2,0,99,3,6,2,13
LAE,2,0,1,4,1,1,13
LEN,2,0,2,1,4,1,3
MIE,2,0,3,3,1,1,9
POLI,99,1,99,99,99,99,99
VERE,99,1,99,99,99,99,99
VERB,99,1,99,99,99,99,99
GEWE,99,1,99,99,99,99,99
UMWE,99,1,99,99,99,99,99
INDU,99,1,99,99,99,99,99
ENER,99,1,99,99,99,99,99
WISS,99,1,99,99,99,99,99
REGI,99,1,99,99,99,99,99
CDU,99,1,99,99,99,99,99
CSU,99,1,99,99,99,99,99
SPD,99,1,99,99,99,99,99
GRU,99,1,99,99,99,99,99
FDP,99,1,99,99,99,99,99
